Date,Open,Close,Low,High,Volume
2015-01-02,312.5799865722656,308.5199890136719,306.9599914550781,314.75,2783200
2015-01-05,307.010009765625,302.19000244140625,300.8500061035156,308.3800048828125,2774200
2015-01-06,302.239990234375,295.2900085449219,292.3800048828125,303.0,3519000
2015-01-07,297.5,298.4200134277344,295.3299865722656,301.2799987792969,2640300
2015-01-08,300.32000732421875,300.4599914550781,296.1099853515625,303.1400146484375,3088400
2015-01-09,301.4800109863281,296.92999267578125,296.67999267578125,302.8699951171875,2592400
2015-01-12,297.55999755859375,291.4100036621094,289.2799987792969,298.510009765625,3421400
2015-01-13,297.4800109863281,294.739990234375,293.2300109863281,301.5,4136400
2015-01-14,291.92999267578125,293.2699890136719,286.5,295.9100036621094,5538700
2015-01-15,294.0,286.95001220703125,286.82000732421875,296.0,4419200
2015-01-16,286.2799987792969,290.739990234375,285.25,290.7900085449219,3478200
2015-01-20,292.5899963378906,289.44000244140625,286.3900146484375,293.3599853515625,3075100
2015-01-21,289.6400146484375,297.25,287.260009765625,306.0,10065100
2015-01-22,300.0,310.32000732421875,300.0,312.25,5362600
2015-01-23,308.0799865722656,312.3900146484375,307.7200012207031,316.92999267578125,4496400
2015-01-26,311.82000732421875,309.6600036621094,307.5199890136719,313.0,3169700
2015-01-27,306.29998779296875,306.75,302.6300048828125,310.239990234375,2920300
2015-01-28,309.80999755859375,303.9100036621094,303.79998779296875,311.510009765625,3063800
2015-01-29,304.7300109863281,311.7799987792969,299.3299865722656,312.79998779296875,8656600
2015-01-30,346.32000732421875,354.5299987792969,340.739990234375,359.5,23856100
2015-02-02,350.04998779296875,364.4700012207031,350.010009765625,365.0,10231900
2015-02-03,360.2900085449219,363.54998779296875,360.2099914550781,367.82000732421875,6212600
2015-02-04,358.3800048828125,364.75,358.2300109863281,367.5,4169900
2015-02-05,366.0,373.8900146484375,365.8999938964844,378.79998779296875,7247600
2015-02-06,374.8699951171875,374.2799987792969,371.010009765625,375.989990234375,3892400
2015-02-09,371.0,370.55999755859375,367.20001220703125,374.4100036621094,2724600
2015-02-10,371.19000244140625,373.0,368.510009765625,374.29998779296875,2287200
2015-02-11,371.2300109863281,375.1400146484375,371.1000061035156,377.1000061035156,2786500
2015-02-12,375.1000061035156,377.1700134277344,373.1499938964844,378.510009765625,2791100
2015-02-13,378.4100036621094,381.8299865722656,377.010009765625,383.0,3475100
2015-02-17,377.7200012207031,375.42999267578125,372.6700134277344,379.989990234375,3673200
